time,instrument,price,quantity,bid1_price,bid3_price,ask1_price,ask3_price,above_ask3,below_bid3
778606,CARD,9571,30,9566.0,9564.0,9568.0,9570.0,True,False
778606,CARD,9571,20,9566.0,9564.0,9568.0,9570.0,True,False
778606,CARD,9572,30,9566.0,9564.0,9568.0,9570.0,True,False
778657,CARD,9610,10,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9612,8,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9618,5,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9618,5,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9622,8,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9632,8,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9634,6,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9634,2,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9644,8,9569.0,9567.0,9572.0,9574.0,True,False
778657,CARD,9654,8,9569.0,9567.0,9572.0,9574.0,True,False
778664,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778664,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778664,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778669,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778669,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778669,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778705,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778705,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778707,CARD,9668,8,9569.0,9567.0,9572.0,9574.0,True,False
778824,CARD,9665,8,9668.0,9666.0,9671.0,9673.0,False,True
778825,CARD,9665,8,9668.0,9666.0,9671.0,9673.0,False,True
778827,CARD,9665,8,9668.0,9666.0,9671.0,9673.0,False,True
826962,CARD,10090,50,9666.0,9664.0,9668.0,9670.0,True,False
826962,CARD,10089,44,9666.0,9664.0,9668.0,9670.0,True,False
827015,CARD,10090,25,9666.0,9664.0,9668.0,9670.0,True,False
